run_name,col_a,col_b,col_a_None,col_b_None,col_a_const,col_b_const,n_vals
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_mean_FirstPassGD,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_mean_FirstPassGD,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_mean_FirstPassGD,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_mean_FirstPassGD,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_mean_FirstPassGD,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_clear_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_clear_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_SkipRateTotal,False,False,True,False,3
Regular,Ele_claude-sonnet-4-0_clear_prompt,Ele_SkipRateTotal,False,False,True,False,30
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Ele_max_embedding_depth,Ele_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-5_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-5_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.5-pro_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.5-pro_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gemini-2.5-pro_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gemini-2.5-pro_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_llama-3.3-70b-versatile_simple_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_llama-3.3-70b-versatile_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_llama-3.3-70b-versatile_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_llama-3.3-70b-versatile_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_llama-3.3-70b-versatile_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_llama-3.3-70b-versatile_simple_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_simple_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Ele_gpt-5_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_llama-3.3-70b-versatile_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_specific_prompt,Adv_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,Ele_claude-sonnet-4-0_clear_specific_prompt,Ele_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_specific_prompt,diff_SkipRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_clear_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_gpt-4o_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gemini-2.0-flash_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_clear_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gemini-2.0-flash_clear_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,diff_gemini-2.0-flash_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_claude-sonnet-4-0_clear_prompt,Adv_RegRateTotal,False,False,True,False,3
Regular,Ele_claude-sonnet-4-0_clear_prompt,Ele_RegRateTotal,False,False,True,False,30
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,diff_claude-sonnet-4-0_clear_prompt,diff_RegRateTotal,False,False,True,False,3
CV,Ele_max_embedding_depth,Ele_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-4o_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,Ele_gpt-4o_simple_prompt,Ele_RegRateTotal,False,False,True,False,3
CV,diff_gpt-4o_simple_prompt,diff_RegRateTotal,False,False,True,False,3
CV,Adv_gpt-5_simple_prompt,Adv_RegRateTotal,False,False,True,False,3
